2,DeliveryDate,Version,inputFolder,inputFilename,xyPixelSize,zPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,structureSegOutputFolder,structureSegOutputFilename
31,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_037.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_037.czi_nucWholeIndex.tiff,20160708_C01_037.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_037.czi_structSegmentation.tiff
32,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_038.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_038.czi_nucWholeIndex.tiff,20160708_C01_038.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_038.czi_structSegmentation.tiff
33,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_040.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_040.czi_nucWholeIndex.tiff,20160708_C01_040.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_040.czi_structSegmentation.tiff
34,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_042.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_042.czi_nucWholeIndex.tiff,20160708_C01_042.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_042.czi_structSegmentation.tiff
35,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_043.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_043.czi_nucWholeIndex.tiff,20160708_C01_043.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_043.czi_structSegmentation.tiff
36,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_045.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_045.czi_nucWholeIndex.tiff,20160708_C01_045.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_045.czi_structSegmentation.tiff
37,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_046.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_046.czi_nucWholeIndex.tiff,20160708_C01_046.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_046.czi_structSegmentation.tiff
38,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_047.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_047.czi_nucWholeIndex.tiff,20160708_C01_047.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_047.czi_structSegmentation.tiff
39,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_048.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_048.czi_nucWholeIndex.tiff,20160708_C01_048.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_048.czi_structSegmentation.tiff
40,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\20160708,20160708_C01_049.czi,0.065,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\nuc_cell_segmentation,20160708_C01_049.czi_nucWholeIndex.tiff,20160708_C01_049.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160708_C01\structure_segmentation,20160708_C01_049.czi_structSegmentation.tiff
